# time passed	number of events
7335.000	248.000
7342.500	249.000
7350.000	258.000
7357.500	223.000
7365.000	247.000
7372.500	259.000
7380.000	241.000
7387.500	239.000
7395.000	225.000
7402.500	218.000
7410.000	261.000
7417.500	237.000
7425.000	233.000
7432.500	232.000
7440.000	249.000
7447.500	231.000
7455.000	253.000
7462.500	225.000
7470.000	221.000
7477.500	207.000
7485.000	237.000
7492.500	279.000
7500.000	244.000
7507.500	224.000
7515.000	238.000
7522.500	238.000
7530.000	229.000
7537.500	235.000
7545.000	239.000
7552.500	239.000
7560.000	242.000
7567.500	246.000
7575.000	250.000
7582.500	223.000
7590.000	246.000
7597.500	240.000
7605.000	255.000
7612.500	261.000
7620.000	232.000
7627.500	236.000
7635.000	215.000
7642.500	235.000
7650.000	238.000
7657.500	262.000
7665.000	232.000
7672.500	270.000
7680.000	234.000
7687.500	245.000
7695.000	261.000
7702.500	238.000
7710.000	254.000
7717.500	246.000
7725.000	260.000
7732.500	257.000
7740.000	204.000
7747.500	229.000
7755.000	244.000
7762.500	219.000
7770.000	271.000
7777.500	236.000
7785.000	204.000
7792.500	244.000
7800.000	224.000
7807.500	251.000
7815.000	231.000
7822.500	236.000
7830.000	237.000
7837.500	242.000
7845.000	248.000
7852.500	243.000
7860.000	270.000
7867.500	231.000
7875.000	240.000
7882.500	217.000
7890.000	258.000
7897.500	263.000
7905.000	240.000
7912.500	231.000
7920.000	231.000
7927.500	269.000
7935.000	221.000
7942.500	266.000
7950.000	247.000
7957.500	243.000
7965.000	252.000
7972.500	251.000
7980.000	218.000
7987.500	223.000
7995.000	211.000
8002.500	251.000
8010.000	254.000
8017.500	238.000
8025.000	243.000
8032.500	249.000
8040.000	246.000
8047.500	240.000
8055.000	246.000
8062.500	258.000
8070.000	253.000
8077.500	272.000
8085.000	235.000
8092.500	240.000
8100.000	231.000
8107.500	223.000
8115.000	240.000
8122.500	233.000
8130.000	233.000
8137.500	237.000
8145.000	220.000
8152.500	242.000
8160.000	243.000
8167.500	275.000
8175.000	226.000
8182.500	242.000
8190.000	246.000
8197.500	244.000
8205.000	231.000
8212.500	229.000
8220.000	243.000
8227.500	224.000
8235.000	269.000
8242.500	246.000
8250.000	214.000
8257.500	197.000
8265.000	241.000
8272.500	232.000
8280.000	229.000
8287.500	244.000
8295.000	215.000
8302.500	237.000
8310.000	251.000
8317.500	234.000
8325.000	235.000
8332.500	235.000
8340.000	226.000
8347.500	249.000
8355.000	227.000
8362.500	249.000
8370.000	242.000
8377.500	232.000
8385.000	238.000
8392.500	219.000
8400.000	236.000
8407.500	243.000
8415.000	234.000
8422.500	247.000
8430.000	258.000
8437.500	256.000
8445.000	211.000
8452.500	244.000
8460.000	227.000
8467.500	224.000
8475.000	256.000
8482.500	240.000
8490.000	272.000
8497.500	200.000
8505.000	241.000
8512.500	230.000
8520.000	221.000
8527.500	224.000
8535.000	254.000
8542.500	239.000
8550.000	228.000
8557.500	222.000
8565.000	242.000
8572.500	251.000
8580.000	253.000
8587.500	259.000
8595.000	234.000
8602.500	252.000
8610.000	254.000
8617.500	237.000
8625.000	238.000
8632.500	261.000
8640.000	232.000
8647.500	241.000
8655.000	255.000
8662.500	227.000
8670.000	237.000
8677.500	225.000
8685.000	243.000
8692.500	238.000
8700.000	227.000
8707.500	233.000
8715.000	246.000
8722.500	261.000
8730.000	237.000
8737.500	251.000
8745.000	229.000
8752.500	243.000
8760.000	244.000
8767.500	231.000
8775.000	224.000
8782.500	242.000
8790.000	255.000
8797.500	257.000
8805.000	237.000
8812.500	253.000
8820.000	226.000
8827.500	229.000
8835.000	261.000
8842.500	224.000
8850.000	233.000
8857.500	227.000
8865.000	235.000
8872.500	235.000
8880.000	244.000
8887.500	249.000
8895.000	231.000
8902.500	249.000
8910.000	250.000
8917.500	236.000
8925.000	204.000
8932.500	264.000
8940.000	278.000
8947.500	227.000
8955.000	214.000
8962.500	223.000
8970.000	253.000
8977.500	247.000
8985.000	228.000
8992.500	236.000
9000.000	227.000
9007.500	221.000
9015.000	214.000
9022.500	232.000
9030.000	213.000
9037.500	235.000
9045.000	230.000
9052.500	231.000
9060.000	240.000
9067.500	247.000
9075.000	240.000
9082.500	236.000
9090.000	239.000
9097.500	252.000
9105.000	226.000
9112.500	233.000
9120.000	199.000
9127.500	225.000
9135.000	242.000
9142.500	252.000
9150.000	212.000
9157.500	242.000
9165.000	226.000
9172.500	236.000
9180.000	224.000
9187.500	255.000
9195.000	239.000
9202.500	250.000
9210.000	243.000
9217.500	298.000
9225.000	265.000
9232.500	251.000
9240.000	241.000
9247.500	240.000
9255.000	248.000
9262.500	257.000
9270.000	259.000
9277.500	230.000
9285.000	222.000
9292.500	240.000
9300.000	237.000
9307.500	247.000
9315.000	224.000
9322.500	232.000
9330.000	220.000
9337.500	225.000
9345.000	230.000
9352.500	253.000
9360.000	235.000
9367.500	258.000
9375.000	247.000
9382.500	221.000
9390.000	231.000
9397.500	243.000
9405.000	262.000
9412.500	245.000
9420.000	233.000
9427.500	244.000
9435.000	229.000
9442.500	250.000
9450.000	232.000
9457.500	219.000
9465.000	279.000
9472.500	297.000
9480.000	218.000
9487.500	250.000
9495.000	257.000
9502.500	223.000
9510.000	218.000
9517.500	269.000
9525.000	239.000
9532.500	246.000
9540.000	213.000
9547.500	262.000
9555.000	242.000
9562.500	238.000
9570.000	240.000
9577.500	251.000
9585.000	229.000
9592.500	248.000
9600.000	246.000
9607.500	241.000
9615.000	267.000
9622.500	214.000
9630.000	216.000
9637.500	241.000
9645.000	247.000
9652.500	221.000
9660.000	247.000
9667.500	225.000
9675.000	249.000
9682.500	240.000
9690.000	276.000
9697.500	258.000
9705.000	251.000
9712.500	250.000
9720.000	233.000
9727.500	230.000
9735.000	253.000
9742.500	241.000
9750.000	239.000
9757.500	229.000
9765.000	230.000
9772.500	205.000
9780.000	248.000
9787.500	241.000
9795.000	245.000
9802.500	255.000
9810.000	218.000
9817.500	242.000
9825.000	239.000
9832.500	240.000
9840.000	259.000
9847.500	257.000
9855.000	208.000
9862.500	236.000
9870.000	253.000
9877.500	214.000
9885.000	254.000
9892.500	253.000
9900.000	260.000
9907.500	228.000
9915.000	225.000
9922.500	252.000
9930.000	229.000
9937.500	217.000
9945.000	239.000
9952.500	238.000
9960.000	230.000
9967.500	235.000
9975.000	238.000
9982.500	237.000
9990.000	228.000
9997.500	210.000
10005.000	246.000
10012.500	231.000
10020.000	255.000
10027.500	234.000
10035.000	245.000
10042.500	223.000
10050.000	232.000
10057.500	242.000
10065.000	227.000
10072.500	265.000
10080.000	231.000
10087.500	247.000
10095.000	218.000
10102.500	257.000
10110.000	241.000
10117.500	239.000
10125.000	240.000
10132.500	230.000
10140.000	245.000
10147.500	260.000
10155.000	230.000
10162.500	249.000
10170.000	237.000
10177.500	234.000
10185.000	248.000
10192.500	223.000
10200.000	233.000
10207.500	229.000
10215.000	244.000
10222.500	234.000
10230.000	240.000
10237.500	242.000
10245.000	237.000
10252.500	253.000
10260.000	233.000
10267.500	237.000
10275.000	232.000
10282.500	208.000
10290.000	270.000
10297.500	237.000
10305.000	262.000
10312.500	247.000
10320.000	242.000
10327.500	249.000
10335.000	204.000
10342.500	254.000
10350.000	222.000
10357.500	268.000
10365.000	218.000
10372.500	222.000
10380.000	232.000
10387.500	257.000
10395.000	240.000
10402.500	242.000
10410.000	231.000
10417.500	243.000
10425.000	228.000
10432.500	220.000
10440.000	233.000
10447.500	243.000
10455.000	250.000
10462.500	223.000
10470.000	244.000
10477.500	264.000
10485.000	213.000
10492.500	235.000
10500.000	246.000
10507.500	236.000
10515.000	231.000
10522.500	246.000
10530.000	210.000
10537.500	223.000
10545.000	233.000
10552.500	225.000
10560.000	249.000
10567.500	266.000
10575.000	201.000
10582.500	242.000
10590.000	216.000
10597.500	246.000
10605.000	249.000
10612.500	260.000
10620.000	246.000
10627.500	264.000
10635.000	240.000
10642.500	244.000
10650.000	221.000
10657.500	243.000
10665.000	215.000
10672.500	292.000
10680.000	265.000
10687.500	229.000
10695.000	245.000
10702.500	256.000
10710.000	212.000
10717.500	204.000
10725.000	256.000
10732.500	242.000
10740.000	222.000
10747.500	249.000
10755.000	213.000
10762.500	232.000
10770.000	223.000
10777.500	233.000
10785.000	243.000
10792.500	274.000
10800.000	232.000
10807.500	220.000
10815.000	239.000
10822.500	216.000
10830.000	250.000
10837.500	230.000
10845.000	241.000
10852.500	229.000
10860.000	211.000
10867.500	212.000
10875.000	212.000
10882.500	262.000
10890.000	246.000
10897.500	239.000
10905.000	222.000
10912.500	234.000
10920.000	210.000
10927.500	229.000
10935.000	263.000
10942.500	226.000
10950.000	251.000
10957.500	239.000
10965.000	245.000
10972.500	234.000
10980.000	249.000
10987.500	255.000
10995.000	232.000
11002.500	225.000
11010.000	214.000
11017.500	244.000
11025.000	235.000
11032.500	219.000
11040.000	226.000
11047.500	232.000
11055.000	261.000
11062.500	245.000
11070.000	213.000
11077.500	230.000
11085.000	262.000
11092.500	239.000
11100.000	228.000
11107.500	252.000
11115.000	224.000
11122.500	242.000
11130.000	230.000
11137.500	249.000
11145.000	225.000
11152.500	259.000
11160.000	255.000
11167.500	255.000
11175.000	248.000
11182.500	230.000
11190.000	234.000
11197.500	226.000
11205.000	240.000
11212.500	220.000
11220.000	220.000
11227.500	249.000
11235.000	251.000
